phone_code;name;country_code;created_at;updated_at;
30;Greece;;04/01/2024 00:59;04/01/2024 00:59;
299;Greenland;;04/01/2024 00:59;04/01/2024 00:59;
+1-473*;Grenada;;04/01/2024 00:59;04/01/2024 00:59;
590;Guadeloupe;;04/01/2024 00:59;04/01/2024 00:59;
+1-671*;Guam;;04/01/2024 00:59;04/01/2024 00:59;
5399;Guantanamo Bay;;04/01/2024 00:59;04/01/2024 00:59;
502;Guatemala;;04/01/2024 00:59;04/01/2024 00:59;
245;Guinea-Bissau;;04/01/2024 00:59;04/01/2024 00:59;
224;Guinea;;04/01/2024 00:59;04/01/2024 00:59;
224;Guyana;;04/01/2024 00:59;04/01/2024 00:59;
509;Haiti;;04/01/2024 00:59;04/01/2024 00:59;
504;Honduras;;04/01/2024 00:59;04/01/2024 00:59;
852;Hong Kong;;04/01/2024 00:59;04/01/2024 00:59;
36;Hungary;;04/01/2024 00:59;04/01/2024 00:59;
17621;ICO Global (Mobile Satellite Service);;04/01/2024 00:59;04/01/2024 00:59;
354;Iceland;;04/01/2024 00:59;04/01/2024 00:59;
91;India;;04/01/2024 00:59;04/01/2024 00:59;
62;Indonesia;;04/01/2024 00:59;04/01/2024 00:59;
871;Inmarsat (Atlantic Ocean â€“ East);;04/01/2024 00:59;04/01/2024 00:59;
874;Inmarsat (Atlantic Ocean â€“ West);;04/01/2024 00:59;04/01/2024 00:59;
873;Inmarsat (Indian Ocean);;04/01/2024 00:59;04/01/2024 00:59;
872;Inmarsat (Pacific Ocean);;04/01/2024 00:59;04/01/2024 00:59;
800;International Freephone Service;;04/01/2024 00:59;04/01/2024 00:59;
808;International Shared Cost Service (ISCS);;04/01/2024 00:59;04/01/2024 00:59;
98;Iran;;04/01/2024 00:59;04/01/2024 00:59;
964;Iraq;;04/01/2024 00:59;04/01/2024 00:59;
353;Ireland;;04/01/2024 00:59;04/01/2024 00:59;
8816;Iridium (Mobile Satellite service);;04/01/2024 00:59;04/01/2024 00:59;
8817;Iridium (Mobile Satellite service);;04/01/2024 00:59;04/01/2024 00:59;
972;Israel;;04/01/2024 00:59;04/01/2024 00:59;
39;Italy;;04/01/2024 00:59;04/01/2024 00:59;
+1-876*;Jamaica;;04/01/2024 00:59;04/01/2024 00:59;
